user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
yueyue1899,6932100056502125574,6950280541929278722,The color of candy#hairstyle #foryou #hyp,1618238295,9,https://www.tiktok.com/@yueyue1899/video/6950280541929278722?lang=en,157200,7620,807,4300000
bk7roberts,6935234074006111238,6946917933092179205,#duet with @wasabi999 #kicker #fastfootworkchallenge #fastfootwork #balloon,1617455378,17,https://www.tiktok.com/@bk7roberts/video/6946917933092179205?lang=en,19900,21,50,382100
sellurr,6763045555168232453,6948550289230269702,Guess the cupp !!!!,1617835440,15,https://www.tiktok.com/@sellurr/video/6948550289230269702?lang=en,13700,137,1058,443100
thegroomingloft,6898815164180497413,6957064728187292933,cuteness overload #puppy #dachshund #doggrooming,1619817861,8,https://www.tiktok.com/@thegroomingloft/video/6957064728187292933?lang=en,129900,4218,380,877200
betterbodyequipment,6895512760113906690,6958204587392126213,Adjusting from 8-70lbs #homeworkouts #adjustabledumbbells #betterbody #weightlifting #homegym #homegymequipment,1620083256,9,https://www.tiktok.com/@betterbodyequipment/video/6958204587392126213?lang=en,95900,1583,797,2800000
mariasalgado633,6786128062989288453,6952224048847817990,It’s a camera for only $25 😍 #fyp #WidenTheScreen,1618690803,10,https://www.tiktok.com/@mariasalgado633/video/6952224048847817990?lang=en,39500,2889,181,767100
ashsteve2x,6829346934269330438,6955578485045808389,#fy #fyp #ashsteve2x #baby #newborn #laboranddelivery,1619471819,10,https://www.tiktok.com/@ashsteve2x/video/6955578485045808389?lang=en,480100,5838,4939,5500000
kamillatasty,6737287326181606406,6959922964561218817,Спасибо за 10м❤️🙏🏼 А я люблю не только большую еду)),1620483346,7,https://www.tiktok.com/@kamillatasty/video/6959922964561218817?lang=en,84400,341,300,376200
_aubreyfisher,6539530506617246735,6935237076044516613,Don’t blink 😉👀 @itzslavik @raino,1614735728,28,https://www.tiktok.com/@_aubreyfisher/video/6935237076044516613?lang=en,439000,21500,8087,3600000
shinchiokazakisgf,6920473779434456070,6930330046271982853,shibuya ✧(σ๑˃̶̀ꇴ˂̶́)σ #fyp,1613593215,14,https://www.tiktok.com/@shinchiokazakisgf/video/6930330046271982853?lang=en,44800,595,780,114400
